URL,Series_name,Map,Soil subgroup UK,WRB_correlation_landgis,WRB_correlation_0,WRB_correlation_1,WRB_correlation_2
https://www.landis.org.uk/soilsguide/series.cfm?serno=1877,8.12 STOCKWITH (Stk) (1877),,2 calcareous alluvial gley soils,Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols,Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2258,8.12 WISBECH (wT) (2258),,2 calcareous alluvial gley soils,Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols,Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=537,8.12 FROME (fM) (537),,2 calcareous alluvial gley soils,Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols,Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2276,8.14 WINDRUSH (WQ) (2276),,4 pelo-calcareous alluvial gley soils,Thaptohistic Clayic Fluvic Calcaric Gleysols,"Calcaric Fluvic Gleysols (Clayic, Thaptohistic)",Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1307,8.14 NEWCHURCH (N) (1307),,4 pelo-calcareous alluvial gley soils,Clayic Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols (Clayic),Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1911,8.14 THAMES (Ts) (1911),,4 pelo-calcareous alluvial gley soils,Clayic Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols (Clayic),Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2288,8.14 WOLFERTON (WW) (2288),,4 pelo-calcareous alluvial gley soils,Endosalic Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols (Endosalic),Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2263,3.72 WYLYE (WY) (2263),,2 gleyic rendzina-like alluvial soils,Endoskeletic Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols (Endoskeletic),Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2273,8.12 WITTERING (Wtt) (2273),,2 calcareous alluvial gley soils,Siltic Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols (Siltic),Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=500,8.14 FAIRFIELD (Fw) (500),,4 pelo-calcareous alluvial gley soils,Thaptohistic Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols (Thaptohistic),Calcaric Fluvic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=442,8.52 EASTVILLE (ES) (442),,2 calcareous humic-alluvial gley soils,Fluvic Calcaric Histic Gleysols,Calcaric Fluvic Histic Gleysols,Calcaric Fluvic Histic Gleysols,
