number,filename.lst,d.lst
45,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cambic.umbrisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cambic.Umbrisols_p_
46,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cambic.umbrisols..hyperdystric._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cambic.Umbrisols..Hyperdystric._p_
47,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chernic.gleysols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chernic.Gleysols_p_
48,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chromic.acrisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chromic.Acrisols_p_
49,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chromic.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chromic.Cambisols_p_
50,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chromic.endoleptic.luvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chromic.Endoleptic.Luvisols_p_
51,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chromic.lixisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chromic.Lixisols_p_
52,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chromic.luvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chromic.Luvisols_p_
53,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/chromic.paraleptic.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Chromic.Paraleptic.Cambisols_p_
54,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/claric.arenosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Claric.Arenosols_p_
55,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/colluvic.regosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Colluvic.Regosols_p_
56,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cromic.luvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cromic.Luvisols_p_
57,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cutanic.lixisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cutanic.Lixisols_p_
58,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.arenosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Arenosols_p_
59,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.cambisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Cambisols_p_
60,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.cambisols..humic..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Cambisols..Humic..Loamic._p_
61,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.cambisols..protospodic..arenic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Cambisols..Protospodic..Arenic._p_
62,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.fluvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Fluvisols_p_
63,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.gleysols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Gleysols_p_
64,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.leptosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Leptosols_p_
65,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.planosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Planosols_p_
66,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.plintohsols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Plintohsols_p_
67,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/dystric.regosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Dystric.Regosols_p_
68,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.calcisols.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Calcisols.Luvic_p_
69,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.cambisols.calcaric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Cambisols.Calcaric_p_
70,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.cambisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Cambisols.Humic_p_
71,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols_p_
72,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.abruptic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Abruptic_p_
73,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.aridic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Aridic_p_
74,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.epiesqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Epiesqueletic_p_
75,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Esqueletic_p_
76,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Humic_p_
77,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.umbric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Umbric_p_
78,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.luvisols.vertic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Luvisols.Vertic_p_
79,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.phaeozem.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Phaeozem.Esqueletic_p_
80,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.phaeozem.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Phaeozem.Humic_p_
81,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.phaeozem.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Phaeozem.Luvic_p_
82,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.regosols.arenic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Regosols.Arenic_p_
83,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.regosols.calcaric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Regosols.Calcaric_p_
84,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.regosols.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Regosols.Esqueletic_p_
85,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.regosols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Regosols.Humic_p_
86,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.umbrisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Umbrisols.Humic_p_
87,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endoleptic.vertisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endoleptic.Vertisols.Humic_p_
88,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endopetric.calcisols.hipercalcic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endopetric.Calcisols.Hipercalcic_p_
89,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/endopetric.calcisols.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Endopetric.Calcisols.Luvic_p_
90,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/entic.podzols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Entic.Podzols_p_
91,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.cambisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Cambisols.Humic_p_
92,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.luvisols.abruptic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Luvisols.Abruptic_p_
93,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.luvisols.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Luvisols.Esqueletic_p_
94,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.luvisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Luvisols.Humic_p_
95,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.phaeozem.calcaric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Phaeozem.Calcaric_p_
96,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.phaeozem.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Phaeozem.Esqueletic_p_
97,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.phaeozem.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Phaeozem.Humic_p_
98,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.phaeozem.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Phaeozem.Luvic_p_
99,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.phaeozem.vertic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Phaeozem.Vertic_p_
100,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.phaeozems..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,EpiLeptic.Phaeozems..Loamic._p_
101,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.regosols.aridic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Regosols.Aridic_p_
102,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.regosols.calcaric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Regosols.Calcaric_p_
103,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.regosols.dystric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Regosols.dystric_p_
104,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.regosols.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Regosols.Esqueletic_p_
105,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.regosols.eutric_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Regosols.Eutric_p_
106,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.regosols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Regosols.Humic_p_
107,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.umbrisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Umbrisols.Humic_p_
108,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.vertisols.esqueletic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Vertisols.Esqueletic_p_
109,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epileptic.vertisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epileptic.Vertisols.Humic_p_
110,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols_p_
111,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/epipetric.calcisols.aridic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Epipetric.Calcisols.Aridic_p_
